arxiv_hep,pubmed_mh,pubmed_cancer,dblp_cs
125 gev,alcoholic,immunohistochemical,deep learning
"pentaquark,pentaquarks","abeta,amyloid beta",monoclonal antibody,neural network
"wmap,wilkinson microwave anisotropy probe",psycinfo,"nf kappab,nuclear factor kappab",machine learning
lhc run,"dexamethasone, dst","polymerase chain reaction,pcr","convolutional neural network,cnn"
pamela,"human immunodeficiency virus,hiv",immune checkpoint,java
lattice gauge,database,"tumor suppressor gene,p53",web
tensor scalar ratio,"alzheimers disease,alzheimer",beta catenin,xml
"brane,branes",amitriptyline,pd l1,internet
atlas,intravenous drug,"interleukin,il",web service
"horava lifshitz,hovrava lifshitz",bupropion,oncogene,"internet thing,iot"
lhc,dsm iii,"microarray,microarrays",world wide web
"noncommutative,noncommutativity,non commutative,non commutativity","depression,depressive",1alpha,speech
black hole,drug user,pc12 cell,5g
anomalous magnetic moment,"apolipoprotein,apoe","magnetic resonance,mr imaging",discrete mathematics
"unparticle,unparticles",epsilon4 allele,"proliferating cell nuclear antigen,pcna",parallel
superluminal,rett syndrome,"human cell leukemia,htlv",agent
"m2 brane,m2 branes","cocaine,crack","adult cell leukemia,atl",recurrent
126 gev,heroin,"lncrna,long non coding rna,lncrnas",sup
pp wave,panic,apoptosis,cloud
lambert,"imipramine,desipramine",cd4,big data
tevatron,papaverine,recombinant,"peer peer,p2p"
higgs,cortisol,"acquired immunodeficiency syndrome,acquired immune deficiency syndrome",wireless
brane world,presenilin,hr,sensor network
extra dimension,plasma,meta analysis,"electronic commerce,ecommerce"
entropic,tricyclic,ic50,"atm,asynchronous transfer mode"
kamland,epsilon allele,immunoperoxidase,gene
solar neutrino,htlv iii,blot,packet
neutrino oscillation,"learning disability,ld","interfering rna,sirna,rna interference",multimedia
chern simon,dsm iv,18f,smart grid
forward backward asymmetry,dsm,"receptor alpha,eralpha",embeddings
dark energy,retardation,okt4,ontology
bulk,aldehyde,kda,ad hoc network
holographic,protein precursor,ca,service oriented
"international linear collider,ilc","bulimia,bulimic",okt8,web site
abjm,narcoleptic,imatinib,rac
babar,"acquired immunodeficiency syndrome,acquired immune deficiency syndrome",helper,distributed memory
daya bay,trisomy,polymorphism,uml
sqrts7 tev,intracavernous,cloned,corba
130 gev,electroconvulsive therapy,tissue cell line,middleware
20point3,schizophrenic disorder,microsatellite,learning model
string field theory,beta a4,autologous bone marrow,applet
metastable vacuum,nonsuppressors,"computed tomography,ct",workstation
gravitational wave,amyloid deposit,"human immunodeficiency virus,hiv",intranet
belle,dna marker,cgy,cdma
diboson,affective disorder,telomerase,h264
gamma ray excess,agoraphobia,"tumor necrosis factor,tnf",reinforcement learning
generalized parton distribution,dual diagnosis,"natural killer,nk",cognitive radio
lux,neurosis,taxol,"smartphones,smartphone"
higgsless,attention deficit disorder,"lymphokine activated killer,lak",web 2point0
planckian,"schizophrenia,schizophrenic",paclitaxel,grid computing
